model,id,category,text,intelligibility_v2,naturalness_v2,code_switch_v2,speaker_quality_v2,roman_treated_as_english_v2,silence_or_skip_v2,end_of_clip_pop_v2,auto_score_confidence_v2,notes_v2
indicf5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.019 groq=0.019 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.71 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.019 dg=0.019 groq=0.019 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.99 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,ear-only,3,4,,FALSE,FALSE,MEDIUM,unified_CER aai=0.196 dg=0.039 groq=0.176 → intel_per [aai=3 dg=5 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.73 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",4,ear-only,4,4,,FALSE,FALSE,HIGH,unified_CER aai=0.294 dg=0.059 groq=0.137 → intel_per [aai=3 dg=4 groq=4] median=4; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.94 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,ear-only,3,5,,FALSE,FALSE,HIGH,unified_CER aai=0.275 dg=0.059 groq=0.176 → intel_per [aai=3 dg=4 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.17 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,ear-only,3,5,,FALSE,FALSE,MEDIUM,unified_CER aai=0.314 dg=0.078 groq=0.196 → intel_per [aai=2 dg=4 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.07 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.026 dg=0.000 groq=0.077 → intel_per [aai=5 dg=5 groq=4] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.81 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.026 dg=0.000 groq=0.051 → intel_per [aai=5 dg=5 groq=4] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.77 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,ear-only,5,5,,FALSE,FALSE,HIGH,unified_CER aai=0.026 dg=0.000 groq=0.026 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.21 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.026 dg=0.000 groq=0.051 → intel_per [aai=5 dg=5 groq=4] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.80 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,06,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",5,ear-only,5,5,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.049 groq=0.024 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.01 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,06,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.049 dg=0.049 groq=0.049 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.90 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,06,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.049 groq=0.024 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.79 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,06,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.049 groq=0.024 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.94 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,07,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.82 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,07,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,4,ear-only,4,5,,FALSE,FALSE,MEDIUM,unified_CER aai=0.000 dg=0.176 groq=0.147 → intel_per [aai=5 dg=3 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.00 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,07,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,5,ear-only,5,5,,FALSE,FALSE,HIGH,unified_CER aai=0.029 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.16 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,07,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,5,ear-only,5,5,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.21 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,08,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",4,ear-only,4,5,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.069 groq=0.069 → intel_per [aai=5 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.00 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,08,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",3,ear-only,3,4,,TRUE,FALSE,HIGH,unified_CER aai=0.207 dg=0.207 groq=0.207 → intel_per [aai=3 dg=3 groq=3] median=3; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.56 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,08,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",4,ear-only,4,4,,FALSE,FALSE,HIGH,unified_CER aai=0.035 dg=0.069 groq=0.069 → intel_per [aai=5 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.88 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,08,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",4,ear-only,4,3,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.069 groq=0.069 → intel_per [aai=5 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.43 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,09,pure_roman,kal mujhe office jaana hai,4,ear-only,4,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.100 dg=0.000 groq=0.300 → intel_per [aai=4 dg=5 groq=3] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.84 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,09,pure_roman,kal mujhe office jaana hai,2,ear-only,2,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.400 dg=0.100 groq=0.350 → intel_per [aai=2 dg=4 groq=2] median=2; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.76 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,09,pure_roman,kal mujhe office jaana hai,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.900 dg=0.750 groq=0.750 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.52 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,09,pure_roman,kal mujhe office jaana hai,1,ear-only,1,3,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.950 dg=0.950 groq=0.950 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.09 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,3,ear-only,3,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.275 dg=0.275 groq=0.250 → intel_per [aai=3 dg=3 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.92 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,2,ear-only,2,3,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.575 dg=0.275 groq=0.500 → intel_per [aai=1 dg=3 groq=2] median=2; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.23 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.725 dg=0.800 groq=0.775 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.80 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.850 groq=0.875 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.94 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,11,pure_roman,yaar tu kal kya kar raha tha,2,ear-only,2,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.417 dg=0.500 groq=0.417 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=0 dg=1 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.02 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,11,pure_roman,yaar tu kal kya kar raha tha,3,ear-only,3,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.125 dg=0.167 groq=0.417 → intel_per [aai=4 dg=3 groq=2] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.64 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,11,pure_roman,yaar tu kal kya kar raha tha,1,ear-only,1,2,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.750 groq=0.875 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=2.94 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,11,pure_roman,yaar tu kal kya kar raha tha,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.833 dg=0.792 groq=0.875 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.67 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,12,pure_roman,kya tu bhi aaj party me aa raha hai?,1,ear-only,1,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.515 dg=0.545 groq=0.394 → intel_per [aai=1 dg=1 groq=2] median=1; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.82 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,12,pure_roman,kya tu bhi aaj party me aa raha hai?,1,ear-only,1,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.545 dg=0.515 groq=0.545 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.10 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,12,pure_roman,kya tu bhi aaj party me aa raha hai?,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.879 dg=0.849 groq=0.849 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.78 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,12,pure_roman,kya tu bhi aaj party me aa raha hai?,1,ear-only,1,3,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.970 groq=0.909 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.23 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",2,ear-only,2,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.191 dg=0.429 groq=0.333 → intel_per [aai=3 dg=2 groq=2] median=2; silent_per [aai=0 dg=1 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.15 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",1,ear-only,1,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.809 dg=0.524 groq=0.452 → intel_per [aai=1 dg=1 groq=2] median=1; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.84 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.857 groq=0.857 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.61 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.833 dg=0.809 groq=0.833 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.83 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",3,ear-only,3,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.128 dg=0.170 groq=0.170 → intel_per [aai=4 dg=3 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.82 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",2,ear-only,2,3,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.787 dg=0.362 groq=0.362 → intel_per [aai=1 dg=2 groq=2] median=2; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.28 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.787 dg=0.936 groq=0.808 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.76 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.872 groq=0.851 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.86 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,15,pure_roman,tera laptop kab tak deliver hoga bhai?,3,ear-only,3,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.121 dg=0.182 groq=0.182 → intel_per [aai=4 dg=3 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.15 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,15,pure_roman,tera laptop kab tak deliver hoga bhai?,1,ear-only,1,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.545 dg=0.667 groq=0.394 → intel_per [aai=1 dg=1 groq=2] median=1; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.09 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,15,pure_roman,tera laptop kab tak deliver hoga bhai?,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.818 groq=0.818 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.08 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,15,pure_roman,tera laptop kab tak deliver hoga bhai?,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.879 groq=0.879 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.67 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",2,ear-only,2,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.395 dg=0.342 groq=0.474 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.96 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",2,ear-only,2,4,FALSE,FALSE,TRUE,HIGH,unified_CER aai=0.658 dg=0.474 groq=0.342 → intel_per [aai=1 dg=2 groq=2] median=2; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.50 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.921 groq=0.868 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.06 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",1,ear-only,1,3,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.816 groq=0.842 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.40 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",3,ear-only,1,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.188 dg=0.083 groq=0.250 → intel_per [aai=3 dg=4 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.56 (synthetic-relative only); code_switch via pure-cat gap (3.56-3=0.56); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",1,ear-only,1,4,FALSE,FALSE,TRUE,HIGH,unified_CER aai=0.354 dg=0.521 groq=0.708 → intel_per [aai=2 dg=1 groq=1] median=1; silent_per [aai=0 dg=1 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.64 (synthetic-relative only); code_switch via pure-cat gap (3.12-1=2.12); naturalness=ear-only per CEILING_REPORT.md.
indicf5,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.542 dg=0.583 groq=0.500 → intel_per [aai=1 dg=1 groq=2] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.90 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.708 dg=0.708 groq=0.688 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.69 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
