model,id,category,text,text_normalized,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,silence_or_skip,end_of_clip_pop,rubric_version,asr_backend,cer_devanagari_norm,squim_pesq,notes
indicf5_patched_xlit_v2,1,pure_devanagari,कल मुझे दिल्ली जाना है।,कल मुझे दिल्ली जाना है।,1,EAR_ONLY,1,4,FALSE,FALSE,2.1,aai,1.0,3.757,cer_norm=1.000; squim_pesq=3.757; silence_mid=0.28s
indicf5_patched_xlit_v2,12,pure_roman,kya tu bhi aaj party me aa raha hai?,क्या तू भी आज पार्टी मे आ रहा है?,5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0312,4.395,cer_norm=0.031; squim_pesq=4.395; silence_mid=0.24s
indicf5_patched_xlit_v2,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu","अबे यार जल्दी रिप्लाई कर, मैं वेट कर रहा हूं",5,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.0465,3.958,cer_norm=0.046; squim_pesq=3.958; silence_mid=0.32s
indicf5_patched_xlit_v2,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste","कल रात का मूवी था बोहोट बकवास, पैसा बिलकुल वेस्ट",4,EAR_ONLY,4,5,FALSE,FALSE,2.1,aai,0.0638,4.189,cer_norm=0.064; squim_pesq=4.189; silence_mid=0.22s
indicf5_patched_xlit_v2,15,pure_roman,tera laptop kab tak deliver hoga bhai?,तेरा लैपटॉप कब तक डिलीवर होगा भाई?,5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0,4.277,cer_norm=0.000; squim_pesq=4.277; silence_mid=0.16s
indicf5_patched_xlit_v2,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!","यार तू बोहोट लकी है, मुझे नही मिला टिकट!",4,EAR_ONLY,4,5,FALSE,FALSE,2.1,aai,0.1053,4.168,cer_norm=0.105; squim_pesq=4.168; silence_mid=0.30s
indicf5_patched_xlit_v2,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.","कल मुझे ऑफिस जाना है, बट ट्राफिक विल बे एएन इश्यू.",4,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.125,3.816,cer_norm=0.125; squim_pesq=3.816; silence_mid=0.26s
indicf5_patched_xlit_v2,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।","मेरा प्रेज़ेंटेशन टुमॉरो है, और मैं नर्वस हूं।",4,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0682,4.048,cer_norm=0.068; squim_pesq=4.048; silence_mid=0.36s
indicf5_patched_xlit_v2,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।","भाई प्लीज़ मेरा होमवर्क कर दे, मैं तुझे ₹100 दूंगा।",4,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.1224,3.823,cer_norm=0.122; squim_pesq=3.823; silence_mid=0.38s
indicf5_patched_xlit_v2,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,तुमने वो न्यू रेस्टोरेंट ट्राई किया जो कनॉट प्लेस में खुला है?,5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0,4.295,cer_norm=0.000; squim_pesq=4.295; silence_mid=0.38s
indicf5_patched_xlit_v2,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।","कल का इवेंट कैंसल हो गया, सबको मैसेज कर देना प्लीज़।",5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.02,4.196,cer_norm=0.020; squim_pesq=4.196; silence_mid=0.32s
indicf5_patched_xlit_v2,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।","बॉस को बता देना कल मैं लीव पर रहूँगा, कुच पर्सनल काम है।",5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.037,4.102,cer_norm=0.037; squim_pesq=4.102; silence_mid=0.32s
indicf5_patched_xlit_v2,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।","ये फाइल को क्विकली रिव्यू करो, डेडलाइन बहुत क्लोज़ है।",5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0385,4.253,cer_norm=0.038; squim_pesq=4.253; silence_mid=0.34s
indicf5_patched_xlit_v2,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,माय फ्रेंड ऐश्वर्या फ्रॉम चेन्नई इस विज़िटिंग बेंगलुरु नेक्स्ट वीक.,5,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.0303,3.886,cer_norm=0.030; squim_pesq=3.886; silence_mid=0.32s
indicf5_patched_xlit_v2,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,मिस्टर. खन्ना विल जोइन थे मीटिंग आफ्टर हे फिनिश लंच विथ प्रिया.,5,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.0492,3.99,cer_norm=0.049; squim_pesq=3.990; silence_mid=0.42s
indicf5_patched_xlit_v2,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,आई लोव बटर चिकन फ्रॉम करीम'एस इन ओल्ड दिल्ली.,4,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.1136,3.698,cer_norm=0.114; squim_pesq=3.698; silence_mid=0.16s
indicf5_patched_xlit_v2,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.","ऑफिस में सब लॉग लंच के लिए बाहर गए, तू भी आ जा यार.",5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0408,4.083,cer_norm=0.041; squim_pesq=4.083; silence_mid=0.26s
indicf5_patched_xlit_v2,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,रोहन इस फ्लाइंग फ्रॉम मुंबई टो बेंगलुरु टुमॉरो मॉर्निंग फोर वर्क.,5,EAR_ONLY,5,3,FALSE,FALSE,2.1,aai,0.0469,3.215,cer_norm=0.047; squim_pesq=3.215; silence_mid=0.36s
indicf5_patched_xlit_v2,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,लेट'एस ग्रैब बिरयानी फ्रॉम पैराडाइज़ इन हैदराबाद थिस वीकेंड.,4,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.1186,4.176,cer_norm=0.119; squim_pesq=4.176; silence_mid=0.32s
indicf5_patched_xlit_v2,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,शे जस्ट गोट हायर्ड एटी टाटा कंसल्टेंसी सर्विसेज़ इन पुणे.,4,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0536,4.041,cer_norm=0.054; squim_pesq=4.041; silence_mid=0.24s
