model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
springlab_f5,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",,,,,,,,
orpheus_hi,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",,,,,,,,
kokoro,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",,,,,,,,
indicf5,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",,,,,,,,
indic_parler,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",,,,,,,,
springlab_f5,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",,,,,,,,
orpheus_hi,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",,,,,,,,
kokoro,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",,,,,,,,
indicf5,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",,,,,,,,
indic_parler,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",,,,,,,,
springlab_f5,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",,,,,,,,
orpheus_hi,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",,,,,,,,
kokoro,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",,,,,,,,
indicf5,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",,,,,,,,
indic_parler,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",,,,,,,,
springlab_f5,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",,,,,,,,
orpheus_hi,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",,,,,,,,
kokoro,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,,,,,,,,
indicf5,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,,,,,,,,
indic_parler,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,,,,,,,,
springlab_f5,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,,,,,,,,
orpheus_hi,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,,,,,,,,
kokoro,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",,,,,,,,
indicf5,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",,,,,,,,
indic_parler,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",,,,,,,,
springlab_f5,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",,,,,,,,
orpheus_hi,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",,,,,,,,
kokoro,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",,,,,,,,
indicf5,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",,,,,,,,
indic_parler,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",,,,,,,,
springlab_f5,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",,,,,,,,
orpheus_hi,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",,,,,,,,
kokoro,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",,,,,,,,
indicf5,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",,,,,,,,
indic_parler,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",,,,,,,,
springlab_f5,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",,,,,,,,
orpheus_hi,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",,,,,,,,
kokoro,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,,,,,,,,
indicf5,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,,,,,,,,
indic_parler,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,,,,,,,,
springlab_f5,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,,,,,,,,
orpheus_hi,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,,,,,,,,
kokoro,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,,,,,,,,
indicf5,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,,,,,,,,
indic_parler,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,,,,,,,,
springlab_f5,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,,,,,,,,
orpheus_hi,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,,,,,,,,
kokoro,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,,,,,,,,
indicf5,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,,,,,,,,
indic_parler,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,,,,,,,,
springlab_f5,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,,,,,,,,
orpheus_hi,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,,,,,,,,
kokoro,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",,,,,,,,
indicf5,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",,,,,,,,
indic_parler,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",,,,,,,,
springlab_f5,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",,,,,,,,
orpheus_hi,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",,,,,,,,
kokoro,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,,,,,,,,
indicf5,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,,,,,,,,
indic_parler,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,,,,,,,,
springlab_f5,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,,,,,,,,
orpheus_hi,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,,,,,,,,
kokoro,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,,,,,,,,
indicf5,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,,,,,,,,
indic_parler,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,,,,,,,,
springlab_f5,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,,,,,,,,
orpheus_hi,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,,,,,,,,
kokoro,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,,,,,,,,
indicf5,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,,,,,,,,
indic_parler,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,,,,,,,,
springlab_f5,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,,,,,,,,
orpheus_hi,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,,,,,,,,
