model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
indicf5_patched,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",1,4,1,4,FALSE,FALSE,FALSE,CER=0.71 WER_rom=0.91 WER_en=1.00 UTMOS=4.03 SQUIM=4.46 PESQ=3.56 silence_mid=0.38
indicf5_patched,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",1,4,1,4,FALSE,FALSE,FALSE,CER=0.65 WER_rom=0.75 WER_en=1.00 UTMOS=4.18 SQUIM=4.46 PESQ=3.92 silence_mid=0.40
indicf5_patched,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",2,4,1,4,FALSE,FALSE,FALSE,CER=0.45 WER_rom=0.40 WER_en=1.00 UTMOS=3.95 SQUIM=4.18 PESQ=3.98 silence_mid=0.40
indicf5_patched,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,1,4,1,4,FALSE,FALSE,FALSE,CER=0.74 WER_rom=0.83 WER_en=0.92 UTMOS=3.81 SQUIM=4.45 PESQ=3.62 silence_mid=0.26
indicf5_patched,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",2,4,1,4,FALSE,FALSE,FALSE,CER=0.42 WER_rom=0.36 WER_en=1.00 UTMOS=4.39 SQUIM=4.46 PESQ=3.90 silence_mid=0.34
indicf5_patched,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",2,4,1,5,FALSE,FALSE,FALSE,CER=0.43 WER_rom=0.38 WER_en=1.00 UTMOS=4.29 SQUIM=4.47 PESQ=4.31 silence_mid=0.40
indicf5_patched,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",1,4,1,5,FALSE,FALSE,FALSE,CER=0.81 WER_rom=0.60 WER_en=1.00 UTMOS=3.88 SQUIM=4.47 PESQ=4.14 silence_mid=0.28
indicf5_patched,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,1,4,1,4,FALSE,FALSE,FALSE,CER=0.91 WER_rom=1.60 WER_en=1.00 UTMOS=4.31 SQUIM=4.45 PESQ=3.68 silence_mid=0.32
indicf5_patched,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,1,2,1,5,FALSE,TRUE,FALSE,CER=1.00 WER_rom=1.00 WER_en=1.00 UTMOS=3.43 SQUIM=3.33 PESQ=4.06 silence_mid=0.38
indicf5_patched,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,1,3,1,4,FALSE,FALSE,FALSE,CER=0.87 WER_rom=1.00 WER_en=1.00 UTMOS=3.47 SQUIM=4.46 PESQ=3.65 silence_mid=0.38
indicf5_patched,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",2,4,1,5,FALSE,FALSE,FALSE,CER=0.41 WER_rom=0.36 WER_en=1.00 UTMOS=4.00 SQUIM=4.46 PESQ=4.01 silence_mid=0.32
indicf5_patched,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,1,3,1,4,FALSE,FALSE,FALSE,CER=0.89 WER_rom=1.00 WER_en=1.00 UTMOS=3.18 SQUIM=4.46 PESQ=3.76 silence_mid=0.28
indicf5_patched,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,1,4,1,4,FALSE,FALSE,FALSE,CER=0.86 WER_rom=1.00 WER_en=1.00 UTMOS=4.01 SQUIM=4.45 PESQ=3.88 silence_mid=0.30
indicf5_patched,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,1,4,1,4,FALSE,FALSE,FALSE,CER=0.85 WER_rom=1.00 WER_en=1.00 UTMOS=4.09 SQUIM=4.45 PESQ=3.96 silence_mid=0.30
